city,sum,latitude,longitude
Bogotá,56,4.6533816,-74.0836333
Stockholm,55,59.3251172,18.0710935
Silver Spring,55,38.9959461,-77.0276231
Barcelona,55,41.3828939,2.1774322
Seattle,55,47.6038321,-122.330062
Fortaleza,54,-3.7304512,-38.5217989
Paris,54,48.8588897,2.3200410217200766
Amsterdam,51,52.3730796,4.8924534
Mons,51,50.4549568,3.951958
Genoa,50,44.40726,8.9338624
Suez,49,29.974498,32.537086
El-Fayoum,49,29.3074076,30.8399651
Nakhon Ratchasima,48,14.9747339,102.0981161
Bonn,48,50.7352621,7.1024635
Marseille,47,43.2961743,5.3699525
Nonthaburi,47,13.8610918,100.3456772
Songkhla,47,6.8790221,100.5498542
Kyoto,46,35.021041,135.7556075
Liverpool,46,53.4071991,-2.99168
Singapore,45,1.357107,103.8194992
Phitsanulok,44,16.9779975,100.3848239
Philadelphia,44,39.9527237,-75.1635262
Londrina,44,-23.3112878,-51.1595023
Mainz,43,49.9995205,8.2736253
Guangzhou,43,23.1301964,113.2592945
Chonburi,43,13.1857117,101.1210777
Freiburg,43,47.9960901,7.8494005
Plovdiv,42,42.1418541,24.7499297
Fukuoka,40,33.6251241,130.6180016
Upton,38,31.3720387,-102.0386055
Orsay,38,48.699184,2.187457
Berkeley,37,37.8708393,-122.272863
Praha,36,50.0874654,14.4212535
Leuven,36,50.879202,4.7011675
Heidelberg,36,49.4093582,8.694724
Manchester,35,53.4794892,-2.2451148
Stanford,35,37.426540700000004,-122.17030545534064
Honolulu,35,21.304547,-157.855676
I-Milano,34,45.4641943,9.1896346
Montreal,34,45.5031824,-73.5698065
Chiba,34,35.549399,140.2647303
Durham,34,54.666667,-1.75
Victoria,33,-36.5986096,144.6780052
Karaman,33,37.1796848,33.3383665
Hat Yai,32,7.0074644,100.4689889
St. Paul,32,44.9497487,-93.0931028
Erlangen,31,49.589157099999994,10.98120719922546
Patumwan,31,13.7403314,100.53411579055937
Kobe,30,34.6932379,135.1943764
Edinburgh,29,55.9533456,-3.1883749
Hong Kong,29,22.350627,114.1849161
Vancouver,29,49.2608724,-123.113952
Brighton,28,50.8214626,-0.1400561
St.Petersburg,28,59.9606739,30.1586551
Bern,28,46.9484742,7.4521749
Anhui,28,32.0,117.0
Amherst,28,42.3731948,-72.5198761
Birmingham,27,52.4796992,-1.9026911
Chiang Rai,27,19.7589517,99.6734592
Göttingen,27,51.5328328,9.9351811
Ho Chi Minh City,26,10.7763897,106.7011391
Glasgow,26,55.861155,-4.2501687
Ames,26,50.536715,2.4086536
Sao Paulo,26,-23.5506507,-46.6333824
Sapporo,26,43.061936,141.3542924
Pathumwan Bangkok,26,13.7482977,100.52584733414871
Khlong Luang,25,14.1033948,100.67034586552202
Hannover,25,52.3744779,9.7385532
New Haven,25,41.3082138,-72.9250518
Rayong,25,12.7943716,101.3705344
Dresden,24,51.0493286,13.7381437
Gatchina (St.-Petersburg),24,59.8607639,30.3203642
Uppsala,24,59.8586126,17.6387436
East Lansing,24,42.7320307,-84.4721678
Santa Cruz,23,28.467178,-16.2507843
Ubon Ratchathani,23,15.1879684,105.3269544
Lancaster,23,40.03813,-76.3056686
Berlin,22,52.510885,13.3989367
Annecy-le-Vieux,22,45.9191358,6.1420652
Santiago,22,9.8694792,-83.7980749
Adelaide,21,-34.9281805,138.5999312
Wuhan,21,30.5951051,114.2999353
Wuppertal,21,51.264018,7.1780374
Buenos Aires,21,-34.6083696,-58.4440583
Manila,21,14.5904492,120.9803621
Bratislava,21,48.1516988,17.1093063
Tucson,21,32.2228765,-110.974847
Oslo,20,59.9133301,10.7389701
Rotterdam,20,51.9244424,4.47775
Chapel Hill,20,35.9131542,-79.05578
Serdang,20,3.0233688499999998,101.71602716231698
Surrey,19,51.2715316,-0.3414523511290909
Nakhon Si Thammarat,19,8.6772337,99.7309635
Klong Luang,19,14.08220345,100.61292424999999
India,19,22.3511148,78.6677428
Cooperstown,19,42.7006303,-74.924321
Bucharest,19,44.4361414,26.1027202
Austin,19,30.2711286,-97.7436995
Sheffield,19,53.3806626,-1.4702278
Nijmegen,19,51.842574850000005,5.838960628748229
Sendai,19,38.2677554,140.8691498
Osaka,19,34.6937569,135.5014539
Lund,18,55.7029296,13.1929449
Arlington,18,32.7355816,-97.1071186
Irvington,18,41.0398662,-73.872717
Johannesburg,18,-26.205,28.049722
ST. PAUL,18,44.9497487,-93.0931028
Urbana,18,40.1117174,-88.207301
South Seoul,17,41.3076924,-72.9333905
Fort Collins,17,40.5871782,-105.0770113
Grenoble,17,45.1875602,5.7357819
Norman,17,35.2225717,-97.4394816
Tel Aviv,17,32.0852997,34.7818064
Edmonton,17,53.5462055,-113.491241
Utrecht,17,52.0907006,5.1215634
Copenhagen,17,55.6867243,12.5700724
Cologne,17,43.7218277,0.9774958
Ottawa,16,45.4208777,-75.6901106
Jakarta,16,-6.175247,106.8270488
Zografou,16,37.9774464,23.7713853
Irvine,16,33.6856969,-117.825981
Rehovot,16,31.8952532,34.8105616
Argonne,16,49.20222595,4.942973285932539
Hamilton,16,43.2560802,-79.8728583
St.-Petersburg,16,59.9606739,30.1586551
Niigata,16,37.6452283,138.7669125
Ljubljana,15,46.0500268,14.5069289
Borno,15,45.9473303,10.2064036
Lisban,15,-37.79228365,144.7961464
Udine,15,46.0634632,13.2358377
Kobenhavn,15,55.6867243,12.5700724
Cluj-Napoca,15,46.769379,23.5899542
Nagasaki,15,33.1154683,129.7874339
Stony Brook,15,40.9256538,-73.140943
"Taipei,",14,25.0375198,121.5636796
Turku,14,60.4517531,22.2670522
Clermont-Ferrand,14,45.7774551,3.0819427
Brisbane,14,-27.4689682,153.0234991
Yamaguchi,14,34.2379614,131.5873845
Bloomington,14,39.1670396,-86.5342881
Waalre,14,51.3856734,5.466115689689311
Jackson,14,32.2998686,-90.1830408
Hangzhou,14,30.2489634,120.2052342
Legnaro,14,45.345648,11.963935
Valparaíso,14,-33.0458456,-71.6196749
Rende,14,39.3319934,16.1843828
Reykjavik,14,64.145981,-21.9422367
Kanagawa,14,35.4342935,139.374753
Eugene,14,44.0505054,-123.0950506
Quetta,14,30.1916569,67.0006542
Shanghai,14,31.2312707,121.4700152
Ceske Budejovice,13,48.9747357,14.474285
Perth,13,-31.9558933,115.8605855
Agia Paraskevi,13,38.0066759,23.8226942
Rom,13,41.8933203,12.4829321
Yokohama,13,35.4503381,139.6343802
Yangon,13,16.7967129,96.1609916
Waltham,12,42.3756401,-71.2358004
Dallas,12,32.7762719,-96.7968559
Nagaoka,12,37.446996,138.8512199
Cape Town,12,-33.9288301,18.4172197
Gatchina,12,59.5706273,30.1305083
Talence,12,44.8088438,-0.5879629
New Delhi,12,28.64308585,77.21926705734865
Tashkent,12,41.3123363,69.2787079
Mahasarakham,11,16.2422682,103.2672732
Nanjing,11,32.0438284,118.7788631
Gatchina-(St-Petersburg),11,59.8607639,30.3203642
Burnaby,11,49.2433804,-122.972545
atchina (St. Petersburg),11,,
Kashiwa,11,35.8676218,139.9756876
Northwest Hammond,11,30.5069542,-90.4620786
Cincinnati,11,39.1014537,-84.5124602
Shandong,11,36.398987,118.5055691
Salaya,11,24.0473815,80.16176985766498
Dortmund,11,51.5142273,7.4652789
Thessaloniki,10,40.6403167,22.9352716
Mayagüez,10,18.21163545,-67.0953571846176
Coventry,10,52.4081812,-1.510477
Würzburg,10,49.7780356,9.943476907125579
Haifa,10,32.8191218,34.9983856
Bergen,10,60.3943055,5.3259192
Atlanta,10,33.7489924,-84.3902644
Galveston,10,29.3872254,-94.992736
Rennes,10,48.1113387,-1.6800198
Kumamoto,10,32.6450475,130.6341345
Taegu,9,35.8713,128.6018
Siegen,9,50.8751175,8.0256131
Fairfield,9,39.7886111,-82.6418883
Indianapolis,9,39.7683331,-86.1583502
Toyama,9,36.6468015,137.2183531
Phayao,9,19.341673,100.1854539
St. Louis,9,38.6280278,-90.1910154
Graz,9,47.0708678,15.4382786
Geneva 23,9,14.3794114,120.9366833
Okazaki,9,34.9548784,137.1728226
Nakhonpathom,9,13.812682500000001,100.07238090788499
Lecce,9,40.152217300000004,18.2260628338229
Phuket,9,7.9366015,98.3529292
Chelmsford,9,51.7345329,0.4730532
Saraburi,9,14.6240563,100.8601022
Umeå,9,63.8256568,20.2630745
Hanoi,9,21.0283334,105.854041
Nakorn Pathom,9,,
Ruston,9,32.5297498,-92.6386604
Hiroshima,9,34.3917241,132.4517589
Phnom Penh,9,11.5730391,104.857807
Munich,9,48.1371079,11.5753822
Rangsit,8,13.987449,100.6100666
Lampang,8,18.6799728,99.7332501
Phetchabun,8,16.3293171,100.9552749
Sacramento,8,38.5810606,-121.493895
Cardiff,8,51.4816546,-3.1791934
Chiangmai,8,49.8597529,8.5565363
Lamphun,8,18.2661422,98.96749
New Brunswick,8,46.2555734,-65.8421701841309
Maebashi,8,36.3893418,139.0632826
Isehara,8,35.4030614,139.3150172
Padua,8,45.4077172,11.8734455
Surabaya,8,-7.2459717,112.7378266
Qinzhou,8,34.5797531,105.7062921
San Jose,8,37.3361663,-121.890591
Daejeon,8,36.3497007,127.3849016
Kagawa,8,34.2480104,134.0586579
Nomi City,8,36.446829449999996,136.55399975538916
Selangor Darul Ehsan,8,3.2083304,101.304146
Saitama,8,35.9754168,139.4160114
PR,8,50.0874654,14.4212535
Lima,7,-12.0621065,-77.0365256
DeKalb,7,41.8903447,-88.7713953
Samarinda,7,-0.5017804,117.1393089
Parkville,7,39.3868522,-76.55086176363942
Chennai,7,13.0836939,80.270186
Ceará,7,-5.3264703,-39.7156073
Sandy Bay,7,36.1307844,-5.340298690428538
Fort Lauderdale,7,26.1223084,-80.1433786
Garching,7,48.2513878,11.6509662
Davao,7,7.0648306,125.6080623
Aarhus C,7,56.20424885,10.263710468026026
Hirosaki,7,40.6030543,140.4640389
La Plata,7,-34.9206797,-57.9537638
BKK,7,13.7524938,100.4935089
Kasugai,7,35.273804,137.007459
Innsbruck,7,47.2654296,11.3927685
Leipzig,7,51.3406321,12.3747329
Hamamatsu,7,34.7109786,137.7259431
Linz,6,48.3059078,14.286198
Chachoengsao,6,13.6093192,101.5467201
Palo Alto,6,37.4443293,-122.1598465
Aichi,6,34.9991645,137.254574
Sakon Nakhon,6,17.1904453,103.9730898
Rabat,6,34.02236,-6.8340222
Châtenay-Malabry,6,48.7670404,2.2775316
Pilsen,6,49.7477415,13.3775249
Paraná,6,-24.4842187,-51.8148872
Kelantan,6,5.4021302,102.0635972
Cheonan,6,36.8150283,127.1140654
Nomi,6,45.928599,11.071881
Criciúma,6,-28.6789941,-49.3695627
Ibaraki,6,36.2869536,140.4703384
Lyon,6,45.7578137,4.8320114
Gold Coast,6,-28.0023731,153.4145987
Olomouc,6,49.5940567,17.251143
Kosice,6,50.1797445,15.5349958
Gambang Kuantan,6,3.7072428,103.0965017
King of Prussia,6,40.09476245,-75.3851333563417
Augusta,6,33.4709714,-81.9748429
Stillwater,6,36.1156306,-97.0585717
Gifu,6,35.7867449,137.0460777
Albuquerque,6,35.0841034,-106.650985
University Park,6,52.9387428,-1.2002956927457427
Dhaka,6,23.7544529,90.393336
Carbondale,5,37.7274692,-89.216655
Ayutthaya,5,14.3189468,100.5111681
Aomori,5,40.886943,140.590121
Łódź,5,51.7687323,19.4569911
Tianjin,5,39.3032619,117.4163641
Hatyai,5,6.93409855,100.3879750591064
Taiyuan,5,37.870009,112.5452739
Norwich,5,52.6285576,1.2923954
Ichikai,5,36.5432544,140.1021523
Istanbu,5,40.78883395388318,29.615441416008316
Santa Clara,5,37.3541132,-121.955174
Okayama,5,34.8581334,133.7759256
Songkla,5,7.0069589,100.50075963786517
Baku,5,40.3755885,49.8328009
Surat Thani,5,9.4674663,98.830042
Saint Jean d’Illac,5,44.8101856,-0.7815257
Jamshoro,5,25.46882325,68.2650813595265
Chon Buri,5,13.1857117,101.1210777
Bo,5,-17.0568696,-64.9912286
Rockville,5,39.0817985,-77.1516844
Leiden,5,52.1594747,4.4908843
St Leonards,5,-33.8225666,151.1923402
Yokohama Kanagawa,5,35.4503381,139.6343802
Shimotsuke,5,36.3943469,139.8515863
Borno State,5,12.1875392,13.3080034
Ragama,5,40.9970072,-5.1274597
Toulouse,5,43.6044622,1.4442469
Vientiane,5,17.9640988,102.6133707
Busan,5,35.1799528,129.0752365
Nishi-ku,5,34.674598,135.476774
CE,5,-5.3264703,-39.7156073
Bang-Rak Bangkok,5,13.7239499,100.5159599
Coimbra,5,40.2111931,-8.4294632
Fez,5,34.0346534,-5.0161926
Chulalongkorn University,5,13.743107349999999,100.53288370292987
Claremont,5,34.0966764,-117.7197785
Klong-Luang,5,14.08220345,100.61292424999999
Okinawa,5,26.5707754,128.0255901
Foster City,5,37.5600336,-122.2688522
Hyogo,5,34.914934,134.860666
Llanelli,5,51.6797331,-4.1620223
Salt Lake City,5,40.7596198,-111.886797
Concord,5,43.207178,-71.537476
Kanchanaburi,5,14.44019,99.2676727
Jiangsu,5,33.0000001,119.9999999
Udon Thani,5,17.5211917,102.6680012
Worcester,4,42.2625621,-71.8018877
Wellington,4,-41.2887953,174.7772114
Casablanca,4,33.5945144,-7.6200284
Phra Nakhon Si Ayutthaya,4,14.3189468,100.5111681
Patumtani,4,,
Wattana,4,19.4929006,100.2788895
Jinan,4,36.6519754,117.1138479
Montpellier,4,43.6112422,3.8767337
Hokkaido,4,43.4519831,142.8197834
Rajshahi,4,24.6285432,89.0376862
Hilo,4,19.685445799999997,-155.10037544637729
Suita,4,34.7594193,135.516835
Granozzo con Monticello,4,45.3671421,8.583931
Lothongkum,4,,
Kensington,4,51.4989948,-0.1991229
Nay Pyi Taw,4,19.7540045,96.1344976
Chantaburi,4,12.9081033,102.0159145
Bochum,4,51.4818111,7.2196635
Cleveland,4,41.4996574,-81.6936772
Colombo,4,6.9388614,79.8542005
Chengdu,4,30.6598628,104.0633717
Maha Sarakham,4,15.9041448,103.0840638
Medford,4,42.4184296,-71.1061639
Buriram,4,14.6107101,102.6453162
Memphis,4,35.1460249,-90.0517638
Akita,4,39.6898802,140.342608
Samutprakarn,4,13.5390822,100.63691620282354
Nagano,4,36.1143945,138.0319015
Patumwan Bangkok,4,13.7403314,100.53411579055937
Ichikawa,4,35.721634,139.9309444
Dolgoprudny,4,55.946607650000004,37.50483582166906
Kampala,4,0.3177137,32.5813539
Hattiesburg,4,31.3271189,-89.2903392
Pathom,4,13.8918425,100.0165659
San-Luis-Potosí,4,22.5000001,-100.4949145
Frederick,4,39.2127031,-78.279166
Calgary,4,51.0456064,-114.057541
Medellin,4,6.269732449999999,-75.60255965090315
Kon Kaen,4,51.2686428,9.9660284
Allerod,4,55.8707776,12.3556762
Bhopal,4,23.2584857,77.401989
Ferrara,4,44.766764249999994,11.827938995640167
Ceara,4,-5.3264703,-39.7156073
Groningen,4,53.2190652,6.5680077
East Melbourne,4,-37.812498,144.9858851
Dublin 4,4,53.32750729999999,-6.227487166789869
Hyderabad,4,17.360589,78.4740613
Arden Hills,4,45.0761409,-93.1666945
Kunming,4,25.0363006,102.7086139
Giessen,4,50.5862066,8.6742306
Marina del Rey,4,33.9776848,-118.448647
Zürich,4,47.3744489,8.5410422
Phayathai,4,45.666034,-73.8675322
Atsugi-shi,4,35.4429646,139.3625125
Ipoh,4,4.5986817,101.0900236
East Falmouth,4,41.5784425,-70.5586401
Juiz de Fora,3,-21.7609533,-43.3501129
Phoenix,3,33.4484367,-112.074141
Zigong,3,29.2995746,104.6928392
Wavre,3,50.7169694,4.610416
Kenilworth,3,42.0894728,-87.7149295
Thonburi,3,13.7605974,100.4787465
San José,3,9.9325427,-84.0795782
Sha Tin,3,22.3815527,114.1904697
Kotabumi,3,-4.8218938,104.8813339
Raleigh,3,35.7803977,-78.6390989
Alexandria,3,44.83495335,8.745030418605868
Nantes Cedex 3,3,,
Petaling Jaya,3,3.0988792,101.6454202
Louisville,3,38.2542376,-85.759407
Kanazawa,3,36.561627,136.6568822
Oujda,3,34.677874,-1.929306
Kamiina Nagano,3,35.663429,137.9360964
Hradec Kralove,3,50.2092113,15.8327512
Chanthaburi,3,12.9081033,102.0159145
Chemnitz,3,50.8323531,12.918914
Nantes,3,47.2186371,-1.5541362
Taiwan,3,23.5983227,120.83537694479215
Canoas,3,-29.9216045,-51.1799525
Poitiers,3,46.5802596,0.340196
Matsumoto,3,36.2382047,137.9687141
Portland,3,45.5202471,-122.674194
Albany,3,42.6511674,-73.754968
Mianyang,3,31.4602714,104.7160723
Koriyama,3,37.404937,140.333381
Palma de Mallorca,3,39.5695818,2.6500745
Des Plaines,3,42.0415823,-87.8873916
East Hanover,3,40.8200998,-74.3648731
Xiamen,3,24.5438732,118.0768065
Nara,3,-0.5252306,166.9324426
Nakhorn Pathom,3,,
Shah Alam,3,3.0739429,101.5185278
Kraków,3,50.0469432,19.997153435836697
Cheongju,3,36.6421169,127.4891742
Cork,3,51.897077,-8.4654674
Concepción,3,-36.8270698,-73.0502064
Lansing,3,42.7338254,-84.5546295
Pohang,3,36.0189315,129.3429384
Drammen,3,59.6964936,10.175641950012762
Piracicaba,3,-22.725165,-47.6493269
Lillehammer,3,61.1333408,10.426585544131413
Bali,3,-8.2271303,115.1919203
Atsugi,3,35.4429646,139.3625125
Nova Friburgo,3,-22.2800004,-42.5325303
"Vilnius,",3,54.6870458,25.2829111
Kathmandu,3,27.708317,85.3205817
Phetchaburi,3,13.0692869,99.6044376
Johor,3,2.0228821,103.3114564
West Haven,3,41.2706527,-72.9470471
Fresno,3,36.7394421,-119.78483
Las Vegas,3,36.1672559,-115.148516
Arica,3,-18.4785288,-70.3211394
Taichung,3,24.163162,120.6478282
Klhong Luang,3,,
Nakhon Sawan,3,15.7054772,99.9288481
Chatuchak Bangkok,3,13.8030357,100.5502304
Nakhonsawan,3,15.7013994,100.1279785
Ongkharak,3,14.1216261,101.0014337
District 5,3,14.73454895,121.07421404266891
Staten Island,3,40.5834557,-74.1496048
Belmont,3,48.4095949,7.234863
Gothenburg,3,57.7072326,11.9670171
Taoyuan,3,24.9929995,121.3010003
Shizuoka,3,34.9332488,138.0955398
Santiago de Compostela,3,42.8804219,-8.5458608
Pingtung,3,22.6828017,120.487928
Darwin,3,-12.46044,130.8410469
Hue,3,16.4639321,107.5863388
Patras,3,38.246242,21.7350847
St Louis,3,38.6280278,-90.1910154
Uangkok,3,,
Matsuyama,3,33.8395188,132.7653521
Trang,3,7.5892935,99.5032004
Quezon City,3,14.6510546,121.0486254
Phathumthani,3,,
Ratchathewi,3,13.7532229,100.5318599
Wakayama City,3,34.230411,135.17081
Changzhou,3,31.8122623,119.9691539
Chiayi,3,23.4591664,120.2930004
PathumThani,3,13.97270675,100.51976929479142
Hannover-Braunschweig,3,52.2553073,10.533848441360295
Wilrijk,3,51.1700864,4.3942577
Shenzhen,3,22.5445741,114.0545429
Lopburi,3,15.026458,100.8089178
Saga,3,33.2185408,130.1296585
Nakornnayok,3,13.99945765,100.66179723604716
Basel,3,47.5581077,7.5878261
Phutthamonthon,3,13.77689295,100.32084005734554
