word,citedby_predict
ab,0.0
abdominal,0.0
aberrations,6.053599846272104
abilities,0.0
ability,6.55032798769112
ablation,0.0
abnormal,0.0
abnormalities,0.0
abortion,1.1744074675426388
abscess,0.0
absence,0.0
absolute,0.0
absorption,0.0
abundance,1.7597658598059747
abuse,5.187340613730899
ac,0.0
academic,0.0
acanthamoeba,7.620434035761868
accelerated,0.0
acceptability,2.6058153748892794
acceptable,3.1238261819985227
acceptance,5.4819245793530165
access,0.0
accessibility,0.0
accessory,0.0
accident,0.0
according,0.0
accounting,0.0
accumulation,4.012181615768341
accuracy,6.462754835143365
accurate,2.172820757983553
acemannan,3.194319004387603
acetaldehyde,6.824107769205896
acetate,0.0
acetic,0.0
acetonide,0.0
acetylcholine,2.0763328003753343
acetylcholinesterase,6.136138391023738
achieve,0.0
achievement,0.0
achieving,22.150803340860435
acid,0.0
acidic,0.0
acidilactici,2.233052891783242
acids,0.0
acinetobacter,1.4596761250841777
acne,3.703630268139964
acoustic,0.0
acquired,0.0
acquisition,0.0
acropora,0.0
acrylic,3.142552746826773
acrylonitrile,2.188586992132841
acting,1.8039980781865828
actinobacteria,0.0
actinobacterium,0.0
actinomycete,2.654090240396422
actinomycetes,0.0
action,0.0
activated,7.476201224344018
activates,0.0
activating,5.223513800331385
activation,2.8710072369326016
activator,2.802763318646485
active,8.376959373627075
activities,0.0
activity,4.039437853203163
actual,0.0
actuator,12.20502409650371
acute,1.3853071086195647
adaptation,2.539545297574894
adaptive,0.0
added,0.0
addiction,0.8968361728549854
adding,0.0
addition,0.0
additional,0.8011642416368516
additions,0.0
additive,5.454614948105219
additives,0.0
address,2.4998930522007714
addressing,5.670028438629408
adductor,1.1989609857128987
adenocarcinoma,0.0
adenoma,0.0
adenosine,0.850797056125867
adherence,0.0
adhesion,2.8043414314054784
adhesive,1.070853973872488
adhesives,0.0
adipogenesis,4.273620746188706
adipose,3.568829283600623
adjacent,3.94074746479873
adjunctive,0.0
adjustment,3.514081471666666
adjuvant,0.0
administered,1.069740638197289
administration,0.0
adolescent,0.0
adolescents,0.0
adopt,0.0
adoption,0.0
adrenal,0.0
adsorbent,0.0
adsorbents,0.0
adsorption,0.0
adsorptive,22.74844098838185
adult,1.565199300988352
adults,0.0
advanced,0.06813634932248076
advancement,0.0
advances,3.065717649470729
advantage,14.387718760290033
adversarial,0.0
adverse,0.0
aedes,0.0
aegypti,0.0
aerial,3.310744484055828
aerobic,5.6627919257588815
aerogel,4.91379218540717
aeromonas,7.27899544319366
aerosol,0.0
aeruginosa,104.14431163439879
affect,0.0
affected,0.0
affecting,0.0
affective,21.33842134165778
affects,0.0
affinity,1.4069222769118925
african,11.310260425432391
ag,51.697651242580754
agalactiae,0.0
age,3.6371518952782353
aged,0.0
ageing,0.34952479975754075
agenesis,2.3217304860321955
agent,0.0
agents,0.4035570267744648
aggregate,10.990537109862695
aggregates,0.0
aggregation,0.0
aging,0.0
agreement,3.7370325132870597
agricultural,0.0
agriculture,0.0
agroecology,0.0
aid,5.7850619135569525
aids,0.0
air,0.39179161945195246
airlift,0.0
airline,0.0
airway,0.0
aki,6.678023765476327
akt,5.9351233075999446
al,0.0
alba,4.195385832618904
albicans,7.0999005199493554
albumin,0.0
alcohol,0.0
aldosterone,0.0
algae,25.57027401545905
algal,3.292376080484139
alginate,0.0
algorithm,1.9725157765500068
algorithms,8.551564944043664
alkali,0.0
alkaline,2.384921279585109
alkaloids,0.0
alkyl,1.7215581439232035
allergen,0.0
allergens,1.7560163223256893
allergic,9.03848997926652
allergy,0.0
alleviates,0.0
allocation,0.0
allograft,2.9739523429959847
alloy,0.0
alloying,2.3351134374690123
alloys,0.0
alopecia,11.575970599092146
alpha,0.0
alteration,0.0
alterations,0.0
altered,0.0
alternative,0.0
alternatives,0.40198336678944635
alters,0.0
alu,0.1842129112975683
alumina,0.915648397557777
aluminium,0.0
aluminum,0.0
alveolar,0.0
ambient,0.5893390939207824
ambulatory,0.0
ameliorates,0.0
amelogenesis,0.0
amendment,7.51801311548791
amine,2.0483088110791554
amines,0.0
amino,1.182502699213579
ammonia,0.0
ammonium,0.0
amorphous,0.0
amphotericin,0.0
amplification,0.0
amplifier,0.0
amyloid,4.0271942584743
anaerobic,0.0
anal,0.0
analgesia,10.858449042957178
analgesic,1.0128740139615842
analogue,0.0
analogues,0.7959536246065939
analyses,5.444537918962169
analysis,1.3307159160545596
analytic,0.0020713986690836803
analytical,9.413090826657136
analytics,0.0
analyzing,0.0
anatomic,0.0
anatomical,0.0
anatomy,0.0
anchored,17.36087084098637
andaman,0.0
androgen,2.18815069166004
android,0.0
anemia,0.0
anesthesia,0.0
anesthetic,0.0
angiogenesis,0.0
angiotensin,0.0
angle,0.0
animal,4.018709786031687
animals,0.0
anion,0.0
anionic,0.041886054235483895
anisotropic,14.782302275967018
ankle,0.0
ann,0.0
annealing,3.0528369504399926
annotated,8.395612465060221
annotation,0.0
annual,0.0
annular,0.0
anode,5.380792265273953
anodes,0.0
anodized,0.0
anomalies,3.8132870329246553
anomalous,1.2758903018200467
anomaly,2.5356191427624233
anopheles,0.0
antagonist,0.0
antecedent,0.0
antecedents,0.0
antenatal,1.0837386967095142
antenna,0.0
anterior,0.0
anthocyanin,0.0
antibacterial,5.625728036356056
antibiotic,0.0
antibiotics,0.0
antibodies,16.40426982964852
antibody,12.36663650444392
anticancer,5.091498644305685
anticoagulants,0.0
anticoagulation,0.07961326381444701
antidiabetic,0.0
antifungal,5.366620686285427
antigen,26.295471744917027
antigens,0.0
antimalarial,0.0
antimicrobial,0.0
antioxidant,0.0
antioxidants,0.0
antioxidative,5.267675742438715
antiretroviral,0.0
antiviral,0.0
anxiety,12.701367137274833
aortic,0.2999418571065557
aphanothece,0.0
apical,1.2011045296743401
apis,0.0
apnea,0.8212175923171601
apoptosis,0.0
apoptotic,0.0
app,6.5796077823639925
appearance,0.0
application,0.0
applications,14.661011224993176
applied,0.0
applying,0.0
approach,3.6605088947588005
approaches,0.28358855668707145
appropriate,0.0
approximation,0.0
aquaculture,0.0
aquatic,0.15407650430344066
aqueous,0.0
aquifer,0.0
aquilaria,0.0
arabica,12.195000461547695
arbuscular,0.0
arc,0.0
arch,0.0
architectural,2.1585268874922683
architecture,0.7560103514988793
area,0.0
areas,8.399038258470341
arising,0.0
arm,0.0
army,0.0
aromatic,0.0
array,5.608318643611157
arrest,0.11000835247618156
arrhythmias,0.2649412468490342
arsenic,2.391175055597127
art,0.0
arterial,0.0
arteries,2.2815882758596424
artery,1.1758992800376096
arthritis,0.0
arthroplasty,2.780849675311621
arthroscopic,0.0
arthrospira,0.0
