,word,predicted_citedby
0,aaron,-0.00666028688402065
1,aas,2.992919421454488
2,ab,6.769951420325713
3,abalone,1.6722095290421326
4,abamectin,0.9893237139995943
5,abandoned,0.008002293203251298
6,abatement,0.018775324909764635
7,abattoir,2.4981260295375147
8,abbrev,8.004345556435407
9,abbreviated,1.9994364484070275
10,abdomen,0.01850569425837989
11,abdominal,3.1405413775397686
12,abdominis,2.4957543090970553
13,abdominoperineal,0.001539917663407664
14,abducens,1.0191257255578208
15,abduction,0.9989805879975329
16,abe,-0.012529055428604607
17,abelian,6.507696688524387
18,aberrancy,0.006491777746472138
19,aberrant,8.254283953325997
20,aberrations,23.56984965713969
21,abhidhamma,0.011599796466681411
22,abilities,2.6044876750894828
23,ability,8.556933286961424
24,abiotic,3.498107945637461
25,abj,11.999993166420442
26,ablate,0.004314383275460187
27,ablation,1.7687155126997365
28,ablative,4.99794212698092
29,able,12.495718519137466
30,ablepharon,-0.0006753848264029472
31,abnormal,3.867583909160361
32,abnormalities,5.765537445980347
33,abnormality,1.0083824961539367
34,abo,4.745505288413625
35,abortion,0.8316141696684571
36,about,9.319116850507235
37,above,3.858088360981593
38,aboveground,1.5038307150742858
39,abrasion,-0.009828473743230148
40,abrasive,7.667314788275117
41,abrogation,32.00315090569063
42,abs,4.496114062556332
43,abscesos,6.99531506793755
44,abscess,0.49430598097796236
45,abscessus,1.006211304365575
46,absence,1.3321637266448623
47,absolute,6.570103993139134
48,absolutist,1.0045582924875642
49,absorbed,-0.001168134508869656
50,absorbency,7.003065668653758
51,absorbent,2.343531077893868
52,absorbents,1.0072963278725133
53,absorber,8.002165392602855
54,absorbing,4.9930143244183505
55,absorption,8.413954677565274
56,absorptive,4.989744228252732
57,abstinence,0.4950675617268496
58,abstract,0.6639410128829853
59,abstracts,-0.013709038467734302
60,abundance,7.428197858693011
61,abuse,3.400525262364583
62,abused,-0.0015985826417725946
63,abusive,2.0114528864719325
64,abutment,9.992790171672569
65,abutments,1.0079621205690845
66,abvd,0.0005604957048319648
67,ac,3.2816721208091875
